type,canonical,alias,language,category,confidence,notes
brand,Creightons professional,Creightons professional,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Crème,Crème,brand,beauty,0.87,open_facts:en.openfoodfacts.org.products.csv.gz; count=6
brand,Curplex,Curplex,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,dabur indialimited,dabur indialimited,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Daili,Daili,brand,beauty,0.86,open_facts:en.openproductsfacts.org.products.csv.gz; count=2
brand,daniel jouvance,daniel jouvance,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Dark and Lovely,Dark and Lovely,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=12
brand,Dark and lovly,Dark and lovly,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,daucy,daucy,brand,beauty,0.87,open_facts:en.openfoodfacts.org.products.csv.gz; count=6
brand,Daydry,Daydry,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,De Tuinen,De Tuinen,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Deb,Deb,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
